# ===================
# INPUT TAG LIST FILE
# ===================
#
# each line must not contain whitespaces and must be in the form:
# XBRL_tag_name,desired_name_in_output_file

ImmobilizzazioniImmaterialiCostiImpiantoAmpliamento,v905
ImmobilizzazioniImmaterialiCostiSviluppo,v907
ImmobilizzazioniImmaterialiDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v910
ImmobilizzazioniImmaterialiConcessioniLicenzeMarchiDirittiSimili,v903
ImmobilizzazioniImmaterialiAvviamento,v902
ImmobilizzazioniImmaterialiImmobilizzazioniCorsoAcconti,v911
ImmobilizzazioniImmaterialiAltre,v899
ImmobilizzazioniMaterialiTerreniFabbricati,v927
ImmobilizzazioniMaterialiImpiantiMacchinario,v924
ImmobilizzazioniMaterialiAttrezzatureIndustrialiCommerciali,v918
ImmobilizzazioniMaterialiAltriBeni,v915
ImmobilizzazioniMaterialiImmobilizzazioniCorsoAcconti,v922
TotaleImmobilizzazioniMateriali,v1866
AmmortamentiFondoAmmortamentoAltreImmobilizzazioniImmateriali,v66
AmmortamentiFondoAmmortamentoAltreImmobilizzazioniMateriali,v67
AmmortamentiFondoAmmortamentoAttrezzatureIndustrialiCommerciali,v68
AmmortamentiFondoAmmortamentoAvviamento,v69
AmmortamentiFondoAmmortamentoConcessioniLicenzeMarchiDirittiSimili,v70
AmmortamentiFondoAmmortamentoCostiImpiantoAmpliamento,v71
AmmortamentiFondoAmmortamentoCostiSviluppo,v72
AmmortamentiFondoAmmortamentoDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v73
AmmortamentiFondoAmmortamentoImmobilizzazioniImmaterialiCorsoAcconti,v74
AmmortamentiFondoAmmortamentoImmobilizzazioniMaterialiCorsoAcconti,v75
AmmortamentiFondoAmmortamentoImpiantiMacchinario,v76
AmmortamentiFondoAmmortamentoTerreniFabbricati,v77
AmmortamentiFondoAmmortamentoTotaleImmobilizzazioni,v78
AmmortamentiFondoAmmortamentoTotaleImmobilizzazioniImmateriali,v79
AmmortamentiFondoAmmortamentoTotaleImmobilizzazioniMateriali,v80
CostoAltreImmobilizzazioniImmateriali,v316
CostoAltreImmobilizzazioniMateriali,v317
CostoAttrezzatureIndustrialiCommerciali,v319
CostoAvviamento,v320
CostoConcessioniLicenzeMarchiDirittiSimili,v321
CostoCostiImpiantoAmpliamento,v322
CostoCostiSviluppo,v323
CostoDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v324
CostoImmobilizzazioniImmaterialiCorsoAcconti,v326
CostoImmobilizzazioniMaterialiCorsoAcconti,v327
CostoImpiantiMacchinario,v328
CostoTerreniFabbricati,v335
CostoTotaleImmobilizzazioni,v336
CostoTotaleImmobilizzazioniImmateriali,v337
CostoTotaleImmobilizzazioniMateriali,v338
FlussiFinanziariDerivantiAttivitaInvestimentoImmobilizzazioniImmateriali,v813
FlussiFinanziariDerivantiAttivitaInvestimentoImmobilizzazioniImmaterialiDisinvestimenti,v814
FlussiFinanziariDerivantiAttivitaInvestimentoImmobilizzazioniImmaterialiInvestimenti,v815
FlussiFinanziariDerivantiAttivitaInvestimentoImmobilizzazioniMateriali,v816
FlussiFinanziariDerivantiAttivitaInvestimentoImmobilizzazioniMaterialiDisinvestimenti,v817
FlussiFinanziariDerivantiAttivitaInvestimentoImmobilizzazioniMaterialiInvestimenti,v818
RivalutazioniAltreImmobilizzazioniImmateriali,v1735
RivalutazioniAltreImmobilizzazioniMateriali,v1736
RivalutazioniAttrezzatureIndustrialiCommerciali,v1738
RivalutazioniAvviamento,v1739
RivalutazioniConcessioniLicenzeMarchiDirittiSimili,v1740
RivalutazioniCostiImpiantoAmpliamento,v1741
RivalutazioniCostiSviluppo,v1742
RivalutazioniDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v1743
RivalutazioniImmobilizzazioniImmaterialiCorsoAcconti,v1745
RivalutazioniImmobilizzazioniMaterialiCorsoAcconti,v1746
RivalutazioniImpiantiMacchinario,v1747
RivalutazioniTerreniFabbricati,v1754
RivalutazioniTotaleImmobilizzazioni,v1755
RivalutazioniTotaleImmobilizzazioniImmateriali,v1756
RivalutazioniTotaleImmobilizzazioniMateriali,v1757
SvalutazioniAltreImmobilizzazioniImmateriali,v1777
SvalutazioniAltreImmobilizzazioniMateriali,v1778
SvalutazioniAttrezzatureIndustrialiCommerciali,v1780
SvalutazioniAvviamento,v1781
SvalutazioniConcessioniLicenzeMarchiDirittiSimili,v1782
SvalutazioniCostiImpiantoAmpliamento,v1783
SvalutazioniCostiSviluppo,v1784
SvalutazioniDirittiBrevettoIndustrialeDirittiUtilizzazioneOpereIngegno,v1785
SvalutazioniImmobilizzazioniImmaterialiCorsoAcconti,v1787
SvalutazioniImmobilizzazioniMaterialiCorsoAcconti,v1788
SvalutazioniImpiantiMacchinario,v1789
SvalutazioniTerreniFabbricati,v1796
SvalutazioniTotaleImmobilizzazioni,v1797
SvalutazioniTotaleImmobilizzazioniImmateriali,v1798
